['media_451348_frame_779.jpeg', '0.321216617210683', '0.397891963109354', '0.0652818991097923', '0.100131752305666', 'Poecilosclerida']
['media_451447_frame_2367.jpeg', '0.0555302953141791', '0.401988297463262', '0.0293571047727095', '0.102702795153077', 'narella sp.']
['media_451447_frame_3206.jpeg', '0.523644342443996', '0.328425070596374', '0.0250933917967689', '0.0606681914538636', 'narella sp.']
['media_451447_frame_6323.jpeg', '0.491408934707904', '0.146639511201629', '0.0434868986254295', '0.104286414724297', 'narella sp.']
['media_451447_frame_7552.jpeg', '0.140893470790378', '0.682590329637173', '0.0514586912943872', '0.120187448140605', 'narella sp.']
['media_451447_frame_7552.jpeg', '0.178993371282946', '0.32529906192586', '0.0243876603608116', '0.0762252882427446', 'narella sp.']
['media_451447_frame_7882.jpeg', '0.299350612749983', '0.23003686327195', '0.0202275525206363', '0.0561372578771841', 'narella sp.']
['media_451447_frame_7882.jpeg', '0.0679227778368229', '0.416711477036084', '0.0372852199080224', '0.0867093652878901', 'narella sp.']
['media_451447_frame_7882.jpeg', '0.809666941226485', '0.454185946841578', '0.0315029202425868', '0.0610170574603363', 'narella sp.']
['media_451468_frame_6323.jpeg', '', '', '', '', 'Uroptychus sp.']
['media_451468_frame_4816.jpeg', '0.385786620235879', '0.790740384115161', '0.0519004055733592', '0.16310410376163', 'narella dichotoma']
['media_451468_frame_6156.jpeg', '0.119270833333333', '0.0325865580448065', '0.195833333333333', '0.378524553066305', 'narella dichotoma']
['media_451468_frame_3626.jpeg', '0.531851928118468', '0.387892094146377', '0.0231615793181728', '0.109855409618231', 'narella sp.']
['media_451468_frame_3626.jpeg', '0.648217409306692', '0.456516766225951', '0.0123808023422554', '0.0639280407104264', 'narella sp.']
['media_451468_frame_3626.jpeg', '0.695797961614766', '0.526411516522724', '0.0174750245187177', '0.0672320931426101', 'narella sp.']
['media_451468_frame_6053.jpeg', '0.824742268041237', '0.114052953156823', '0.0387993986254295', '0.0776137135098439', 'narella sp.']
['media_451468_frame_4495.jpeg', '0.466208476517755', '0.0838896432073622', '0.051141895761741', '0.13370294938523', 'narella alata']
['media_451440_frame_8781.jpeg', '0.460062215107285', '0.303811250174959', '0.0362580492032845', '0.0951515933649138', 'narella alata']
['media_451216_frame_98.jpeg', '0.437884808132875', '0.0266727012144527', '0.307044673539518', '0.861084709964548', 'narella sp.']
['media_451216_frame_7792.jpeg', '0.0539459199164446', '0.780655977929235', '0.0741320785388899', '0.130602839914029', 'narella sp.']
['media_451216_frame_7792.jpeg', '0.0786511258034032', '0.585642193764837', '0.115531186744325', '0.181105590075427', 'narella sp.']
['media_451216_frame_7792.jpeg', '0.461897149134919', '0.65221839532341', '0.0324734163848338', '0.168747989700301', 'narella sp.']
['media_451216_frame_8121.jpeg', '0.112960554910544', '0.333369169086764', '0.0428782343593059', '0.101664049162503', 'narella sp.']
['media_451216_frame_8468.jpeg', '0.0843914136214145', '0.273603677387053', '0.0724916516885798', '0.13014361789231', 'narella sp.']
['media_451216_frame_8468.jpeg', '0.148818851533008', '0.319165281317006', '0.0322541590984351', '0.150421846308092', 'narella sp.']
['media_451216_frame_8468.jpeg', '0.483144786676534', '0.349802655846268', '0.0181052151878467', '0.109330597305806', 'narella sp.']
['media_451216_frame_7934.jpeg', '0.576174112256587', '0.476578411405295', '0.0514300544100801', '0.124347514520631', 'narella sp.']
['media_451216_frame_8031.jpeg', '', '', '', '', 'Parantipathes sp.']
['media_451216_frame_5724.jpeg', '0.70820831233759', '0.814663951120163', '0.0500616571129402', '0.131659249457728', 'narella alata']
['media_451499_frame_4525.jpeg', '0.15179295599533', '0.64179927149931', '0.0793788809482426', '0.148015543315505', 'narella sp.']
['media_451224_frame_479.jpeg', '0.749195050328381', '0.193632740650651', '0.0417342384145884', '0.0658606659802799', 'narella sp.']
['media_451224_frame_479.jpeg', '0.428417548079131', '0.229975725079031', '0.0223158246299183', '0.0699327090396321', 'narella sp.']
['media_451224_frame_479.jpeg', '0.606469433413707', '0.216391116340001', '0.0229696491301136', '0.0645335699182994', 'narella sp.']
['media_451224_frame_479.jpeg', '0.451118322744967', '0.322438723614516', '0.0194687747266441', '0.0463922408629806', 'narella sp.']
['media_451224_frame_479.jpeg', '0.500049053873756', '0.409250566808496', '0.0156250871776584', '0.0440103078470745', 'narella sp.']
['media_451224_frame_479.jpeg', '0.578424826743763', '0.346614173617903', '0.0211230285652764', '0.0606848564436865', 'narella sp.']
['media_451224_frame_899.jpeg', '0.359679266895762', '0.0753564154786151', '0.0231332331042382', '0.121865806743607', 'narella sp.']
['media_451224_frame_3026.jpeg', '0.0493933728738836', '0.433966937806519', '0.0273802402507585', '0.0764837517662856', 'narella sp.']
['media_451224_frame_5124.jpeg', '0.0263459335624284', '0.0977596741344195', '0.0345915664375716', '0.0652032888285434', 'narella sp.']
['media_451224_frame_5124.jpeg', '0.693012600229095', '0.270875763747454', '0.0288623997709049', '0.0670871992155088', 'narella sp.']
['media_451426_frame_1288.jpeg', '0.0461817881320934', '0.400816873349757', '0.0522946566108159', '0.102473719181941', 'narella sp.']
['media_451426_frame_2577.jpeg', '', '', '', '', 'Chrysogorgia sp.']
['media_451424_frame_3080.jpeg', '0.313510464669739', '0.142987249544627', '0.30724846390169', '0.732134183363691', 'narella dichotoma']
['media_451424_frame_3420.jpeg', '0.452428955453149', '0.620901639344263', '0.0846798195084484', '0.3183970856102', 'narella sp.']
['media_451424_frame_3661.jpeg', '0.516129032258065', '0.276396478445659', '0.127620967741935', '0.193503339404979', 'narella sp.']
['media_451458_frame_3509.jpeg', '0.477683954353724', '0.547802628392076', '0.0389937154825834', '0.177079632560388', 'narella sp.']
['media_451458_frame_3866.jpeg', '0.829761012982481', '0.362732072471558', '0.0249608921169111', '0.0977979357235046', 'narella sp.']
['media_451458_frame_3866.jpeg', '0.696592688844529', '0.33986308937263', '0.0267139390296555', '0.0804378365532961', 'narella sp.']
['media_451458_frame_3866.jpeg', '0.782398390547686', '0.358158275851772', '0.0453886528230894', '0.094382834247398', 'narella sp.']
['media_451458_frame_4123.jpeg', '0.0737327188940092', '0.407786885245902', '0.0819964477726574', '0.149620522161506', 'narella sp.']
['media_451458_frame_2877.jpeg', '', '', '', '', 'Anthomastus sp.']
['media_451465_frame_7502.jpeg', '0.00578571428571427', '0.664001806684733', '0.209345238095238', '0.252145438121048', 'narella sp.']
['media_451465_frame_7342.jpeg', '0.902422619047619', '0.266395663956639', '0.0835357142857143', '0.187443541102078', 'narella alata']
['media_451465_frame_5124.jpeg', '0.0', '0.0', '0.0', '0.0', 'Calyptopora sp.']
['media_451446_frame_3596.jpeg', '0.709648979591837', '0.47966212486199', '0.0895474489795918', '0.10102031683897', 'narella sp.']
['media_451446_frame_4105.jpeg', '0.0432326803252551', '0.481406170309822', '0.0619315914381377', '0.0990731448228364', 'narella sp.']
['media_451446_frame_5772.jpeg', '0.183622797087585', '0.535422927637135', '0.0588748720060944', '0.0892752727775692', 'narella sp.']
['media_451446_frame_5772.jpeg', '0.361439926126701', '0.828078800096944', '0.0940792379712301', '0.155555898287077', 'narella sp.']
['media_451446_frame_5772.jpeg', '0.239307812942886', '0.692851229426928', '0.0487818966128118', '0.0523176454099681', 'narella sp.']
['media_451460_frame_2127.jpeg', '0.761689557823129', '0.605101818802741', '0.0251518391262755', '0.0700557224331653', 'narella sp.']
['media_451460_frame_2277.jpeg', '0.0990395937765731', '0.636743647634458', '0.0454135167144983', '0.116723209207401', 'narella sp.']
['media_451460_frame_2787.jpeg', '0.871207846938776', '0.532390117826201', '0.0496949075875142', '0.0983117080963794', 'narella sp.']
['media_451460_frame_6653.jpeg', '0.557591850340136', '0.569024628931926', '0.0160702450839711', '0.129327419480533', 'narella sp.']
['media_451460_frame_6653.jpeg', '0.565374659863946', '0.722784057108864', '0.0370367240646258', '0.0910024529784593', 'narella sp.']
['media_451467_frame_479.jpeg', '0.19110380952381', '0.571349358480035', '0.0423303608630952', '0.0834065717953174', 'narella sp.']
['media_451467_frame_479.jpeg', '0.60149387755102', '0.646179522770838', '0.0404834289965986', '0.118269438385441', 'narella sp.']
['media_451221_frame_6512.jpeg', '0.347023231921414', '0.566144490713199', '0.0497599798044217', '0.125403749972459', 'narella sp.']
['media_451484_frame_569.jpeg', '0.500592261904761', '0.552845528455285', '0.0536517857142857', '0.111607949412828', 'narella sp.']
['media_451484_frame_569.jpeg', '0.482285714285714', '0.776422764227642', '0.0593809523809523', '0.0754290876242095', 'narella sp.']
['media_451484_frame_569.jpeg', '0.597714285714286', '0.345528455284553', '0.0272857142857143', '0.0979900632339657', 'narella sp.']
['media_451484_frame_1168.jpeg', '0.391985119047619', '0.465447154471545', '0.0585357142857143', '0.0956639566395663', 'narella sp.']
['media_451484_frame_1168.jpeg', '0.431973214285714', '0.402439024390244', '0.0539642857142857', '0.085523938572719', 'narella sp.']
['media_451484_frame_1168.jpeg', '0.681142857142857', '0.363821138211382', '0.0547946428571429', '0.097289972899729', 'narella sp.']
['media_451484_frame_1168.jpeg', '0.169142857142857', '0.400406504065041', '0.0527321428571428', '0.111630532971996', 'narella sp.']
['media_451484_frame_1168.jpeg', '0.329142857142857', '0.410569105691057', '0.0583571428571428', '0.0959123757904246', 'narella sp.']
['media_451484_frame_1130.jpeg', '0.923428571428571', '0.321138211382114', '0.0458422619047618', '0.112195121951219', 'narella sp.']
['media_450514_frame_2817.jpeg', '', '', '', '', 'Chrysogorgia sp.']
['media_451403_frame_1168.jpeg', '', '', '', '', 'Uroptychus sp.']
['media_451403_frame_1398.jpeg', '0.00494559841740851', '0.868189806678383', '0.0377627349159248', '0.079032415543839', 'Asteroideae']
['media_451403_frame_2457.jpeg', '', '', '', '', 'Lebbeus sp.']
['media_450515_frame_6473.jpeg', '', '', '', '', 'Alternatipathes sp.']
['media_451413_frame_959.jpeg', '', '', '', '', 'Pleurogorgia militaris']
['media_450515_frame_4607.jpeg', '0.5375', '0.869140625', '0.050412087912088', '0.125303819444444', 'Mollusca']
['media_450515_frame_4607.jpeg', '0.542708333333333', '0.635185185185185', '0.0550938644688645', '0.171455439814815', 'Mollusca']
['media_450515_frame_4607.jpeg', '0.557142857142857', '0.7890625', '0.0261904761904762', '0.0840856481481481', 'Mollusca']
['media_451403_frame_2457.jpeg', '', '', '', '', 'Ophiacanthidae']
['media_451421_frame_5304.jpeg', '', '', '', '', 'Alternatipathes sp.']
['media_447484_frame_3056.jpeg', '0.564887178394379', '0.209964413113064', '0.0120036193833734', '0.0159190707736545', 'Scalpelliformes']
['media_447484_frame_7972.jpeg', '0.836458333333333', '0.450925925925926', '0.0327724358974359', '0.121339699074074', 'Ophidiidae']
['media_451411_frame_3952.jpeg', '0.786432577838828', '0.866794953522858', '0.0222529708247483', '0.0404388427734373', 'Amphianthidae']
['media_451411_frame_2325.jpeg', '0.566727341454333', '0.344630629928024', '0.0125029508228341', '0.0262642040697472', 'Scalpelliformes']
['media_451411_frame_2325.jpeg', '0.406254685676046', '0.292133331298828', '0.0183874918079288', '0.0190312429252802', 'Scalpelliformes']
['media_451411_frame_2325.jpeg', '0.419953570925412', '0.296333115189164', '0.0182923606603638', '0.0208044850123109', 'Scalpelliformes']
['media_451411_frame_6800.jpeg', '0.767032967032967', '0.7890625', '0.0991128663003663', '0.0683449074074074', 'Scalpelliformes']
['media_451411_frame_8931.jpeg', '0.583516483516484', '0.80078125', '0.0362751831501831', '0.0353298611111111', 'Scalpelliformes']
['media_447484_frame_8871.jpeg', '', '', '', '', 'Chrysogorgia sp.']
['media_448076_frame_7906.jpeg', '0.69010989010989', '0.392578125', '0.10207760989011', '0.163903356481481', 'Asteroideae']
['media_450512_frame_1376.jpeg', '0.614285714285714', '0.9296875', '0.039360119047619', '0.0564236111111111', 'Scalpelliformes']
['media_447403_frame_239.jpeg', '', '', '', '', 'Chrysogorgia sp.']
['media_447403_frame_5038.jpeg', '0.178125', '0.935546875', '0.0207760989010989', '0.0311197916666667', 'Scalpelliformes']
['media_450505_frame_8211.jpeg', '', '', '', '', 'Pleurogorgia militaris']
['media_450505_frame_3488.jpeg', '0.207692307692308', '0.681640625', '0.0376201923076923', '0.0331741898148148', 'Scalpelliformes']
['media_450505_frame_3488.jpeg', '0.641666666666667', '0.8515625', '0.0187728937728938', '0.0660300925925926', 'Scalpelliformes']
['media_451368_frame_7594.jpeg', '0.906227106227106', '0.584215856481481', '0.0682177197802197', '0.0749421296296298', 'narella sp.']
['media_451368_frame_8151.jpeg', '', '', '', '', 'Hemicorallium sp.']
['media_447667_frame_4050.jpeg', '0.509895833333333', '0.818171296296296', '0.0195798992673994', '0.0216435185185185', 'Scalpelliformes']
['media_451405_frame_689.jpeg', '', '', '', '', 'Uroptychus sp.']
['media_447402_frame_5724.jpeg', '0.450520833333333', '0.618473895582329', '0.123971265989466', '0.0787483266398929', 'narella macrocalyx']
['media_451366_frame_3566.jpeg', '', '', '', '', 'Hemicorallium sp.']
['media_451377_frame_2459.jpeg', '0.823119713650035', '0.381160611508991', '0.035434604341932', '0.0369066677426942', 'Ophidiidae']
['media_450505_frame_1558.jpeg', '', '', '', '', 'Uroptychus sp.']
['media_450505_frame_5124.jpeg', '', '', '', '', 'Uroptychus sp.']
['media_447403_frame_7432.jpeg', '', '', '', '', 'Comatulida']
['media_450506_frame_5154.jpeg', '', '', '', '', 'Chrysogorgia sp.']
['media_450894_frame_7042.jpeg', '', '', '', '', 'Aplacophora']
['media_450894_frame_6574.jpeg', '0.4938560561732', '0.806652806652806', '0.0836746635459334', '0.130977130977131', 'narella sp.']
['media_450894_frame_6574.jpeg', '0.468110005851375', '0.602910602910603', '0.0421299005266237', '0.147609147609148', 'narella sp.']
['media_450894_frame_6574.jpeg', '0.0635416666666667', '0.896049896049896', '0.0610926223912619', '0.103950103950104', 'narella sp.']
['media_450894_frame_6574.jpeg', '0.796372147454652', '0.403326403326403', '0.0468110005851374', '0.138253638253638', 'narella sp.']
['media_450894_frame_6574.jpeg', '0.826214160327677', '0.403326403326403', '0.0351082504388531', '0.141372141372141', 'narella sp.']
['media_450920_frame_1618.jpeg', '0.0', '0.55948640948641', '0.425848754144724', '0.437629937629937', 'Parazoanthidae']
['media_450920_frame_6127.jpeg', '0.148624926857812', '0.716216216216216', '0.20947922761849', '0.280665280665281', 'Parazoanthidae']
['media_450924_frame_6443.jpeg', '', '', '', '', 'Uroptychus sp.']
['media_450924_frame_6443.jpeg', '0.695547533092659', '0.26096256684492', '0.0505415162454874', '0.0855614973262032', 'narella sp.']
['media_450924_frame_6443.jpeg', '0.34115523465704', '0.448128342245989', '0.0415162454873646', '0.0802139037433155', 'narella sp.']
['media_450940_frame_7582.jpeg', '', '', '', '', 'Uroptychus sp.']
['media_450940_frame_7582.jpeg', '0.668227033352838', '0.376299376299376', '0.0415447630193094', '0.101871101871102', 'narella sp.']
['media_450940_frame_7582.jpeg', '0.745465184318315', '0.455301455301455', '0.0462258630778232', '0.0665280665280665', 'narella sp.']
['media_450943_frame_509.jpeg', '0.018724400234055', '0.12993762993763', '0.399648917495611', '0.483367983367983', 'narella sp.']
['media_450943_frame_509.jpeg', '0.548958333333333', '0.00833333333333333', '0.10756594987322', '0.312872487872488', 'narella sp.']
['media_450902_frame_7552.jpeg', '', '', '', '', 'Polychaeta']
['media_450905_frame_5564.jpeg', '0.399648917495612', '0.214137214137214', '0.132241076653013', '0.174636174636175', 'Parazoanthidae']
['media_450905_frame_5564.jpeg', '0.531304856641311', '0.0457380457380457', '0.139262726740784', '0.254677754677755', 'Parazoanthidae']
['media_450905_frame_5484.jpeg', '', '', '', '', 'Actiniaria']
['media_450905_frame_2127.jpeg', '0.107080163838502', '0.0550935550935551', '0.376828554710357', '0.9002079002079', 'narella sp.']
['media_450904_frame_8271.jpeg', '', '', '', '', 'Uroptychus sp.']
['media_450904_frame_1798.jpeg', '', '', '', '', 'Victorgorgia alba']
['media_450904_frame_8668.jpeg', '0.597299444003177', '0.456214689265537', '0.0476568705321683', '0.162429378531073', 'narella sp.']
['media_450904_frame_8668.jpeg', '0.138204924543288', '0.82909604519774', '0.105639396346307', '0.132768361581921', 'narella sp.']
['media_450904_frame_1703.jpeg', '0.357426528991263', '0.268361581920904', '0.0238284352660842', '0.0564971751412429', 'narella sp.']
['media_450904_frame_1703.jpeg', '0.220810166799047', '0.786723163841808', '0.084988085782367', '0.115819209039548', 'narella sp.']
['media_450904_frame_6203.jpeg', '', '', '', '', 'Keratoisidinae']
['media_450941_frame_7912.jpeg', '', '', '', '', 'Chrysogorgia sp.']
['media_450893_frame_6413.jpeg', '0.279219628180475', '0.595745087235996', '0.0664934590055609', '0.0823081726354453', 'Parazoanthidae']
['media_450893_frame_6713.jpeg', '0.386918759373445', '0.710466115702479', '0.0431251964401943', '0.0980848484848485', 'Parazoanthidae']
['media_450893_frame_5064.jpeg', '', '', '', '', 'Aplacophora']
['media_450893_frame_4166.jpeg', '0.915531335149864', '0.183030303030303', '0.0258855585831062', '0.123636363636364', 'Mysida']
['media_450893_frame_7882.jpeg', '', '', '', '', 'Euryalidae']
['media_450893_frame_7522.jpeg', '', '', '', '', 'Octocorallia']
['media_450893_frame_869.jpeg', '0.496594005449591', '0.778181818181818', '0.0197547683923705', '0.0339393939393939', 'narella sp.']
['media_450893_frame_869.jpeg', '0.555858310626703', '0.779393939393939', '0.0204359673024523', '0.0290909090909091', 'narella sp.']
['media_450893_frame_6713.jpeg', '0.69141689373297', '0.673939393939394', '0.07425068119891', '0.0824242424242424', 'narella sp.']
['media_450893_frame_8569.jpeg', '0.363760217983651', '0.797575757575758', '0.0885558583106267', '0.12', 'narella sp.']
['media_450893_frame_8569.jpeg', '0.0613079019073569', '0.362424242424242', '0.0517711171662125', '0.109090909090909', 'narella sp.']
['media_450893_frame_8569.jpeg', '0.0953678474114441', '0.51030303030303', '0.0510899182561308', '0.0945454545454546', 'narella sp.']
['media_450893_frame_8569.jpeg', '0.00749318801089918', '0.732121212121212', '0.029291553133515', '0.0763636363636364', 'narella sp.']
['media_450893_frame_8569.jpeg', '0.140326975476839', '0.32', '0.0245231607629428', '0.08', 'narella sp.']
['media_450914_frame_959.jpeg', '0.156675749318801', '0.461818181818182', '0.05858310626703', '0.11030303030303', 'Scleractinia']
['media_450914_frame_6293.jpeg', '', '', '', '', 'Paragorgia sp.']
['media_450933_frame_2637.jpeg', '', '', '', '', 'Walteria sp.']
['media_450933_frame_8691.jpeg', '', '', '', '', 'Jasonisis sp.']
['media_450933_frame_5094.jpeg', '', '', '', '', 'Swiftia sp.']
['media_450933_frame_5064.jpeg', '0.281770833333333', '0.714494875549048', '0.0275372391543108', '0.1086532725991', 'narella sp.']
['media_450933_frame_2187.jpeg', '', '', '', '', 'Uroptychus sp.']
['media_450906_frame_329.jpeg', '0.5265625', '0.245801474974242', '0.0805215197693575', '0.24679111761835', 'narella sp.']
['media_450906_frame_329.jpeg', '0.0630208333333333', '0.271339677891655', '0.413020833333333', '0.655512173960197', 'narella sp.']
['media_450906_frame_2307.jpeg', '0.429159802306425', '0.585651537335286', '0.0437568643602416', '0.0976817959980479', 'narella sp.']
['media_450906_frame_2307.jpeg', '0.491762767710049', '0.418740849194729', '0.0228205656232839', '0.0738517433978635', 'narella sp.']
['media_450906_frame_2307.jpeg', '0.192339373970346', '0.549780380673499', '0.034223126029654', '0.0576270267339081', 'narella sp.']
['media_450906_frame_2307.jpeg', '0.30625', '0.860175695461201', '0.044244233937397', '0.131490971205466', 'narella sp.']
['media_450906_frame_2997.jpeg', '0.177604166666667', '0.778703703703704', '0.039801276771005', '0.0777777777777778', 'narella sp.']
['media_450906_frame_3176.jpeg', '0.501961490939044', '0.166559568353126', '0.0497099807797913', '0.184266037633534', 'narella sp.']
['media_450906_frame_3176.jpeg', '0.107267641405821', '0.654866872729245', '0.053669858594179', '0.0932812754189035', 'narella sp.']
['media_450906_frame_3176.jpeg', '0.278125', '0.763845507293531', '0.0721778898956617', '0.0981915297435063', 'narella sp.']
['media_450884_frame_1348.jpeg', '0.30625', '0.0811805216636842', '0.0869791666666666', '0.406782441299279', 'narella sp.']
['media_450884_frame_1348.jpeg', '0.0162548050521691', '0.647071742313324', '0.0644743616144975', '0.207557887316306', 'narella sp.']
['media_450884_frame_1348.jpeg', '0.172981878088962', '0.33601756954612', '0.0228514552443712', '0.0852787267501762', 'narella sp.']
['media_450884_frame_3451.jpeg', '0.277236065348709', '0.382427742530231', '0.262421917902251', '0.544363103953148', 'narella sp.']
['media_450884_frame_7762.jpeg', '0.792416169000549', '0.643868465512301', '0.0580601934831642', '0.127842072298977', 'Parazoanthidae']
['media_450884_frame_8001.jpeg', '0.580479475562877', '0.624486199229977', '0.0267632825370676', '0.067699690906133', 'narella sp.']
['media_450884_frame_8001.jpeg', '', '', '', '', 'Keratoisidinae']
['media_450884_frame_7282.jpeg', '0.849258649093904', '0.816983894582723', '0.0403246842394289', '0.0626457350469064', 'narella sp.']
['media_450884_frame_7282.jpeg', '0.338550247116969', '0.422401171303075', '0.026553919549698', '0.0627840138821105', 'narella sp.']
['media_450884_frame_7282.jpeg', '0.347336628226249', '0.485511902825226', '0.0237429640307524', '0.050332140339461', 'narella sp.']
['media_450928_frame_29.jpeg', '0.400363811092806', '0.666085082153896', '0.127240355573861', '0.217248251179437', 'narella sp.']
['media_450928_frame_5634.jpeg', '0.775123558484349', '0.69692532942899', '0.0405014415156507', '0.104000596496936', 'narella sp.']
['media_450928_frame_5634.jpeg', '0.362391028281164', '0.738975652079605', '0.0563589717188358', '0.12120953310558', 'narella sp.']
['media_450928_frame_5634.jpeg', '0.712520593080725', '0.798405726370587', '0.139562740252608', '0.18400168103682', 'narella sp.']
['media_450928_frame_5634.jpeg', '0.4546875', '0.846490157800553', '0.0610224464579901', '0.13684317553278', 'narella sp.']
['media_450928_frame_5634.jpeg', '0.317545304777595', '0.505124450951684', '0.0402671952224053', '0.0911718453446125', 'narella sp.']
['media_450928_frame_5934.jpeg', '0.869270833333333', '0.600292825768668', '0.0442382276221856', '0.105262729786888', 'narella sp.']
['media_450928_frame_5934.jpeg', '0.366144975288303', '0.749633967789165', '0.0307300247116968', '0.0725882544330567', 'narella sp.']
['media_450928_frame_5934.jpeg', '0.835828528281164', '0.637080418632395', '0.0433381383855025', '0.0832899517379752', 'narella sp.']
['media_450928_frame_5934.jpeg', '0.811367380560132', '0.572474377745242', '0.0693617861065348', '0.121970066699203', 'narella sp.']
['media_450928_frame_5934.jpeg', '0.74375', '0.706869204489995', '0.0814679434376716', '0.091278943658153', 'narella sp.']
['media_450928_frame_5934.jpeg', '0.704493581823174', '0.683463478119408', '0.072068918176826', '0.115610595954666', 'narella sp.']
['media_450928_frame_5934.jpeg', '0.25658978583196', '0.355051244509517', '0.0418477141680395', '0.083837644379372', 'narella sp.']
['media_450928_frame_5934.jpeg', '0.5984375', '0.547954286643891', '0.0354166666666667', '0.127971639282035', 'narella sp.']
['media_450928_frame_7072.jpeg', '0.812173084843492', '0.367505829401876', '0.0758477484898407', '0.270457133561087', 'narella sp.']
['media_450928_frame_7072.jpeg', '0.212108731466227', '0.650073206442167', '0.044662101867106', '0.1665934602245', 'narella sp.']
['media_450928_frame_7072.jpeg', '0.699752883031301', '0.647144948755491', '0.0570179503020319', '0.125077273466732', 'narella sp.']
['media_450928_frame_7072.jpeg', '0.403451915156507', '0.241903909766282', '0.0533189181768259', '0.127540534678163', 'narella sp.']
['media_450928_frame_7072.jpeg', '0.287067545304778', '0.123718887262079', '0.0441824546952224', '0.117947779404588', 'narella sp.']
['media_450891_frame_7972.jpeg', '', '', '', '', 'Ophiacanthidae']
['media_450891_frame_8961.jpeg', '0.561833299011532', '0.464901578005531', '0.0543125343218012', '0.0999132368092841', 'narella sp.']
['media_450891_frame_7972.jpeg', '0.131964751510159', '0.184840843772029', '0.0914727484898408', '0.183677674746489', 'narella sp.']
['media_450891_frame_7972.jpeg', '0.436543279791323', '0.483162518301611', '0.175435886875343', '0.264985629846538', 'narella sp.']
['media_450891_frame_7972.jpeg', '0.442080244371225', '0.226967084214522', '0.0763763042284459', '0.170232091535167', 'narella sp.']
['media_450891_frame_8961.jpeg', '', '', '', '', 'Keratoisidinae']
['media_450891_frame_4135.jpeg', '0.271004942339374', '0.617862371888726', '0.0342033909939593', '0.142322813296459', 'narella sp.']
['media_450891_frame_4135.jpeg', '0.921983971718836', '0.566322325253511', '0.0379118616144975', '0.11515915622797', 'narella sp.']
['media_450891_frame_4135.jpeg', '0.165980230642504', '0.431185944363104', '0.0314156026908292', '0.128073314896155', 'narella sp.']
['media_450891_frame_4615.jpeg', '0.673805601317957', '0.561493411420205', '0.0319235653487095', '0.107951033024239', 'narella sp.']
['media_450891_frame_4615.jpeg', '0.125205930807249', '0.63103953147877', '0.0279190691927512', '0.0958123203730817', 'narella sp.']
['media_450891_frame_4615.jpeg', '0.706342668863262', '0.535871156661786', '0.054594831136738', '0.100239954449325', 'narella sp.']
